trainNumber,departureDate,operatorUICCode,operatorShortCode,trainType,trainCategory,commuterLineID,runningCurrently,cancelled,version,timetableType,timetableAcceptanceDate,stationShortCode,stationUICCode,countryCode,type,trainStopping,commercialStop,commercialTrack,cancelled,scheduledTime,actualTime,differenceInMinutes,causes,trainReady,liveEstimateTime,estimateSource
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,MKA,1336,FI,DEPARTURE,False,,,False,2020-03-02T07:34:00.000Z,2020-03-02T07:34:01.000Z,0,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,UKÄ,105,FI,ARRIVAL,False,,2,False,2020-03-02T07:38:00.000Z,2020-03-02T07:38:22.000Z,0,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,UKÄ,105,FI,DEPARTURE,False,,2,False,2020-03-02T07:38:00.000Z,2020-03-02T07:38:22.000Z,0,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,NSL,595,FI,ARRIVAL,False,,2,False,2020-03-02T07:39:30.000Z,2020-03-02T07:39:42.000Z,0,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,NSL,595,FI,DEPARTURE,False,,2,False,2020-03-02T07:39:30.000Z,2020-03-02T07:39:42.000Z,0,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,VLH,104,FI,ARRIVAL,False,,1,False,2020-03-02T07:42:00.000Z,2020-03-02T07:41:36.000Z,0,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,VLH,104,FI,DEPARTURE,False,,1,False,2020-03-02T07:42:00.000Z,2020-03-02T07:41:36.000Z,0,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,LH,100,FI,ARRIVAL,True,True,4,False,2020-03-02T07:47:00.000Z,2020-03-02T07:46:32.000Z,0,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,LH,100,FI,DEPARTURE,True,True,4,False,2020-03-02T07:49:00.000Z,2020-03-02T07:50:13.000Z,1,[],,,
4,2020-03-02,10,vr,IC,Long-distance,,False,False,268668352950,REGULAR,2019-11-08T10:34:22.000Z,HLT,1014,FI,ARRIVAL,False,,,False,2020-03-02T07:55:00.000Z,2020-03-02T07:55:57.000Z,1,[],,,
